Source;Target
ENGLAND;IA: Arquiteturas e Metodos
CHINA;Assistencia Virtual e Educacao
BRAZIL;Mercado Risco e Previsao
USA;Clima, Solo e Meio Ambiente
CHINA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
HUNGARY;Mercado Risco e Previsao
ARABIA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
CHINA;Cadeia Produtiva e Qualidade
USA;Assistencia Virtual e Educacao
SWITZERLAND;Mercado Risco e Previsao
INDONESIA;Mercado Risco e Previsao
CHINA;IA: Arquiteturas e Metodos
CHINA;Assistencia Virtual e Educacao
FINLAND;IA: Arquiteturas e Metodos
CHINA;IA: Arquiteturas e Metodos
TURKIYE;Assistencia Virtual e Educacao
USA;Mercado Risco e Previsao
CHINA;Diagnostico e Protecao Fitossanitaria
GERMANY;Diagnostico e Protecao Fitossanitaria
CANADA;Assistencia Virtual e Educacao
USA;Clima, Solo e Meio Ambiente
GERMANY;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
ENGLAND;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
AUSTRALIA;IA: Arquiteturas e Metodos
CHINA;Visao Computacional e Fenotipagem
FRANCE;Diagnostico e Protecao Fitossanitaria
CHINA;Robotica e Mecanizacao
ISRAEL;Assistencia Virtual e Educacao
AUSTRALIA;Visao Computacional e Fenotipagem
CHINA;Governanca, Gestao e Impacto Social
FRANCE;Assistencia Virtual e Educacao
ITALY;Diagnostico e Protecao Fitossanitaria
GREECE;Robotica e Mecanizacao
CHINA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
CANADA;Cadeia Produtiva e Qualidade
USA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
POLAND;Assistencia Virtual e Educacao
USA;IA: Arquiteturas e Metodos
UKRAINE;Mercado Risco e Previsao
NORWAY;Assistencia Virtual e Educacao
SINGAPORE;Assistencia Virtual e Educacao
BRAZIL;Assistencia Virtual e Educacao
AUSTRALIA;IA: Arquiteturas e Metodos
INDIA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
GERMANY;Clima, Solo e Meio Ambiente
CHINA;Visao Computacional e Fenotipagem
AUSTRALIA;Governanca, Gestao e Impacto Social
CHINA;Diagnostico e Protecao Fitossanitaria
SCOTLAND;Diagnostico e Protecao Fitossanitaria
KOREA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
NETHERLANDS;IA: Arquiteturas e Metodos
GERMANY;Cadeia Produtiva e Qualidade
USA;Clima, Solo e Meio Ambiente
USA;Assistencia Virtual e Educacao
POLAND;Diagnostico e Protecao Fitossanitaria
USA;Visao Computacional e Fenotipagem
CHINA;Assistencia Virtual e Educacao
NETHERLANDS;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
ISRAEL;Assistencia Virtual e Educacao
CHINA;Mercado Risco e Previsao
CHINA;Assistencia Virtual e Educacao
CHINA;Cadeia Produtiva e Qualidade
CHINA;Assistencia Virtual e Educacao
RUSSIA;Diagnostico e Protecao Fitossanitaria
CHINA;Governanca, Gestao e Impacto Social
CHINA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
AUSTRALIA;Diagnostico e Protecao Fitossanitaria
GERMANY;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
NETHERLANDS;Assistencia Virtual e Educacao
CHINA;IA: Arquiteturas e Metodos
CHINA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
CANADA;Visao Computacional e Fenotipagem
SPAIN;Governanca, Gestao e Impacto Social
SPAIN;IA: Arquiteturas e Metodos
KOREA;Visao Computacional e Fenotipagem
EMIRATES;Robotica e Mecanizacao
GERMANY;Cadeia Produtiva e Qualidade
CHINA;Visao Computacional e Fenotipagem
GREECE;Robotica e Mecanizacao
USA;Governanca, Gestao e Impacto Social
USA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
USA;Mercado Risco e Previsao
CHINA;Mercado Risco e Previsao
CHINA;Diagnostico e Protecao Fitossanitaria
USA;Robotica e Mecanizacao
CHINA;Diagnostico e Protecao Fitossanitaria
CHINA;IA: Arquiteturas e Metodos
USA;Clima, Solo e Meio Ambiente
BULGARIA;Cadeia Produtiva e Qualidade
CANADA;Assistencia Virtual e Educacao
CYPRUS;Governanca, Gestao e Impacto Social
INDIA;IA: Arquiteturas e Metodos
USA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
CHINA;IA: Arquiteturas e Metodos
SPAIN;Assistencia Virtual e Educacao
ARABIA;Assistencia Virtual e Educacao
CHINA;Diagnostico e Protecao Fitossanitaria
USA;Diagnostico e Protecao Fitossanitaria
USA;Governanca, Gestao e Impacto Social
ITALY;Assistencia Virtual e Educacao
CHINA;Visao Computacional e Fenotipagem
ENGLAND;Visao Computacional e Fenotipagem
IRELAND;Robotica e Mecanizacao
NIGERIA;Assistencia Virtual e Educacao
CHINA;Visao Computacional e Fenotipagem
Nao Informado;Assistencia Virtual e Educacao
BULGARIA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
JORDAN;Cadeia Produtiva e Qualidade
USA;Robotica e Mecanizacao
USA;Assistencia Virtual e Educacao
GERMANY;Assistencia Virtual e Educacao
USA;Diagnostico e Protecao Fitossanitaria
USA;Diagnostico e Protecao Fitossanitaria
CHINA;Governanca, Gestao e Impacto Social
CHINA;Assistencia Virtual e Educacao
GERMANY;Mercado Risco e Previsao
CHINA;Diagnostico e Protecao Fitossanitaria
GERMANY;Assistencia Virtual e Educacao
KOREA;Assistencia Virtual e Educacao
CHINA;Visao Computacional e Fenotipagem
USA;Cadeia Produtiva e Qualidade
CHINA;Assistencia Virtual e Educacao
CHINA;Governanca, Gestao e Impacto Social
CHINA;Governanca, Gestao e Impacto Social
BRAZIL;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
USA;Governanca, Gestao e Impacto Social
JAPAN;Diagnostico e Protecao Fitossanitaria
POLAND;Assistencia Virtual e Educacao
PORTUGAL;Robotica e Mecanizacao
CHINA;IA: Arquiteturas e Metodos
GERMANY;Assistencia Virtual e Educacao
FRANCE;IA: Arquiteturas e Metodos
USA;Governanca, Gestao e Impacto Social
GERMANY;Assistencia Virtual e Educacao
TUNISIA;Assistencia Virtual e Educacao
USA;Mercado Risco e Previsao
CHINA;Mercado Risco e Previsao
CHINA;Diagnostico e Protecao Fitossanitaria
CHINA;Visao Computacional e Fenotipagem
USA;Assistencia Virtual e Educacao
USA;Robotica e Mecanizacao
CANADA;Diagnostico e Protecao Fitossanitaria
INDIA;Assistencia Virtual e Educacao
KOREA;Assistencia Virtual e Educacao
GERMANY;Assistencia Virtual e Educacao
USA;Mercado Risco e Previsao
FINLAND;Governanca, Gestao e Impacto Social
USA;Assistencia Virtual e Educacao
USA;Governanca, Gestao e Impacto Social
GERMANY;Diagnostico e Protecao Fitossanitaria
ROMANIA;Governanca, Gestao e Impacto Social
USA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
AUSTRALIA;Governanca, Gestao e Impacto Social
AUSTRALIA;Assistencia Virtual e Educacao
CHINA;Diagnostico e Protecao Fitossanitaria
AUSTRALIA;Diagnostico e Protecao Fitossanitaria
USA;Governanca, Gestao e Impacto Social
USA;IA: Arquiteturas e Metodos
AUSTRALIA;Mercado Risco e Previsao
USA;Assistencia Virtual e Educacao
NETHERLANDS;Assistencia Virtual e Educacao
AFRICA;IA: Arquiteturas e Metodos
CHINA;Diagnostico e Protecao Fitossanitaria
USA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
AUSTRALIA;Assistencia Virtual e Educacao
CHINA;Diagnostico e Protecao Fitossanitaria
MALAYSIA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
AUSTRALIA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
JAPAN;Governanca, Gestao e Impacto Social
USA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
GERMANY;Assistencia Virtual e Educacao
BULGARIA;Governanca, Gestao e Impacto Social
USA;Robotica e Mecanizacao
INDIA;Assistencia Virtual e Educacao
ARABIA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
NETHERLANDS;Assistencia Virtual e Educacao
SWITZERLAND;Assistencia Virtual e Educacao
BELGIUM;Assistencia Virtual e Educacao
CHINA;Mercado Risco e Previsao
ROMANIA;Assistencia Virtual e Educacao
CHINA;Mercado Risco e Previsao
CANADA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
SINGAPORE;Assistencia Virtual e Educacao
CHINA;Governanca, Gestao e Impacto Social
USA;Assistencia Virtual e Educacao
INDIA;Governanca, Gestao e Impacto Social
CHINA;Assistencia Virtual e Educacao
BANGLADESH;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
USA;Agricultura de Precisao e Cultivo
USA;Assistencia Virtual e Educacao
POLAND;Clima, Solo e Meio Ambiente
INDIA;Assistencia Virtual e Educacao
GERMANY;Assistencia Virtual e Educacao
CHINA;Diagnostico e Protecao Fitossanitaria
EMIRATES;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
USA;Governanca, Gestao e Impacto Social
CHINA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
CHINA;Cadeia Produtiva e Qualidade
KOREA;Mercado Risco e Previsao
TAIWAN;Diagnostico e Protecao Fitossanitaria
ITALY;IA: Arquiteturas e Metodos
MALAYSIA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
FRANCE;Assistencia Virtual e Educacao
AUSTRALIA;Assistencia Virtual e Educacao
CHINA;Diagnostico e Protecao Fitossanitaria
INDIA;Assistencia Virtual e Educacao
AUSTRALIA;IA: Arquiteturas e Metodos
CHINA;Diagnostico e Protecao Fitossanitaria
USA;Diagnostico e Protecao Fitossanitaria
CHINA;IA: Arquiteturas e Metodos
ENGLAND;Assistencia Virtual e Educacao
CHINA;Visao Computacional e Fenotipagem
USA;Visao Computacional e Fenotipagem
INDIA;Assistencia Virtual e Educacao
CHINA;Mercado Risco e Previsao
TURKIYE;Mercado Risco e Previsao
CHINA;Assistencia Virtual e Educacao
POLAND;Assistencia Virtual e Educacao
USA;Governanca, Gestao e Impacto Social
CHINA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
CHINA;Mercado Risco e Previsao
NEPAL;Assistencia Virtual e Educacao
EGYPT;Visao Computacional e Fenotipagem
USA;Robotica e Mecanizacao
USA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
IRELAND;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
AUSTRALIA;Assistencia Virtual e Educacao
USA;Visao Computacional e Fenotipagem
USA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
USA;IA: Arquiteturas e Metodos
CHINA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
NETHERLANDS;Assistencia Virtual e Educacao
KOREA;Mercado Risco e Previsao
CHINA;Assistencia Virtual e Educacao
USA;Cadeia Produtiva e Qualidade
INDIA;Diagnostico e Protecao Fitossanitaria
JAPAN;Visao Computacional e Fenotipagem
CHINA;Assistencia Virtual e Educacao
ITALY;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
CHINA;Governanca, Gestao e Impacto Social
USA;Mercado Risco e Previsao
USA;Governanca, Gestao e Impacto Social
CHINA;IA: Arquiteturas e Metodos
CHINA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
CHINA;Diagnostico e Protecao Fitossanitaria
USA;Clima, Solo e Meio Ambiente
ITALY;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
PORTUGAL;Assistencia Virtual e Educacao
EMIRATES;Assistencia Virtual e Educacao
TANZANIA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
NORWAY;Diagnostico e Protecao Fitossanitaria
INDIA;Assistencia Virtual e Educacao
RICA;Assistencia Virtual e Educacao
MEXICO;Assistencia Virtual e Educacao
AFRICA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
AFRICA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
IRAN;Assistencia Virtual e Educacao
SCOTLAND;Assistencia Virtual e Educacao
KENYA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
EMIRATES;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
MALAYSIA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
ENGLAND;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
THAILAND;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
PERU;Assistencia Virtual e Educacao
HUNGARY;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
ITALY;Assistencia Virtual e Educacao
GREECE;Assistencia Virtual e Educacao
PAKISTAN;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
ITALY;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
KENYA;Assistencia Virtual e Educacao
JAPAN;Mercado Risco e Previsao
ITALY;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
TANZANIA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
INDIA;Diagnostico e Protecao Fitossanitaria
SPAIN;Assistencia Virtual e Educacao
MALAYSIA;Assistencia Virtual e Educacao
PERU;Assistencia Virtual e Educacao
ARABIA;Assistencia Virtual e Educacao
MOROCCO;Assistencia Virtual e Educacao
CHINA;Cadeia Produtiva e Qualidade
CHINA;Governanca, Gestao e Impacto Social
MOROCCO;Diagnostico e Protecao Fitossanitaria
CHINA;Mercado Risco e Previsao
ENGLAND;Assistencia Virtual e Educacao
INDONESIA;Governanca, Gestao e Impacto Social
ECUADOR;Assistencia Virtual e Educacao
TURKIYE;Mercado Risco e Previsao
CHINA;Assistencia Virtual e Educacao
BRAZIL;Cadeia Produtiva e Qualidade
COLOMBIA;Robotica e Mecanizacao
CHINA;Assistencia Virtual e Educacao
AUSTRALIA;Governanca, Gestao e Impacto Social
USA;Diagnostico e Protecao Fitossanitaria
USA;Mercado Risco e Previsao
USA;Assistencia Virtual e Educacao
JORDAN;Assistencia Virtual e Educacao
JAPAN;Cadeia Produtiva e Qualidade
BANGLADESH;Assistencia Virtual e Educacao
CHINA;Cadeia Produtiva e Qualidade
TANZANIA;Governanca, Gestao e Impacto Social
ITALY;Assistencia Virtual e Educacao
INDIA;Mercado Risco e Previsao
ETHIOPIA;Assistencia Virtual e Educacao
SPAIN;Assistencia Virtual e Educacao
CHINA;Visao Computacional e Fenotipagem
TAIWAN;Governanca, Gestao e Impacto Social
AUSTRALIA;Mercado Risco e Previsao
SPAIN;Mercado Risco e Previsao
ROMANIA;Assistencia Virtual e Educacao
ENGLAND;IA: Arquiteturas e Metodos
TURKIYE;Mercado Risco e Previsao
MEXICO;Assistencia Virtual e Educacao
UKRAINE;Assistencia Virtual e Educacao
CANADA;Robotica e Mecanizacao
USA;Assistencia Virtual e Educacao
RUSSIA;Governanca, Gestao e Impacto Social
IRELAND;Assistencia Virtual e Educacao
PORTUGAL;Cadeia Produtiva e Qualidade
COLOMBIA;Cadeia Produtiva e Qualidade
USA;Mercado Risco e Previsao
CHINA;Governanca, Gestao e Impacto Social
GREECE;Mercado Risco e Previsao
PORTUGAL;Cadeia Produtiva e Qualidade
CHINA;Clima, Solo e Meio Ambiente
USA;Assistencia Virtual e Educacao
INDIA;Mercado Risco e Previsao
OMAN;Assistencia Virtual e Educacao
CHINA;Robotica e Mecanizacao
SPAIN;Cadeia Produtiva e Qualidade
ENGLAND;Assistencia Virtual e Educacao
ARABIA;Robotica e Mecanizacao
CHINA;Cadeia Produtiva e Qualidade
CHINA;Assistencia Virtual e Educacao
TUNISIA;Diagnostico e Protecao Fitossanitaria
AFRICA;Cadeia Produtiva e Qualidade
INDIA;Governanca, Gestao e Impacto Social
INDIA;Mercado Risco e Previsao
CHINA;Mercado Risco e Previsao
SPAIN;Assistencia Virtual e Educacao
AFRICA;Mercado Risco e Previsao
CHINA;Cadeia Produtiva e Qualidade
AUSTRALIA;Robotica e Mecanizacao
CAMEROON;Governanca, Gestao e Impacto Social
CHINA;Diagnostico e Protecao Fitossanitaria
KAZAKHSTAN;Robotica e Mecanizacao
INDIA;Assistencia Virtual e Educacao
CHINA;Clima, Solo e Meio Ambiente
BRAZIL;Robotica e Mecanizacao
INDIA;Mercado Risco e Previsao
BANGLADESH;IA: Arquiteturas e Metodos
ZEALAND;Visao Computacional e Fenotipagem
SERBIA;Robotica e Mecanizacao
USA;Robotica e Mecanizacao
CHINA;Governanca, Gestao e Impacto Social
TANZANIA;Assistencia Virtual e Educacao
TAIWAN;Cadeia Produtiva e Qualidade
ENGLAND;Assistencia Virtual e Educacao
CHINA;Visao Computacional e Fenotipagem
IRELAND;Assistencia Virtual e Educacao
JAPAN;IoT e Sensores
USA;Assistencia Virtual e Educacao
WALES;Assistencia Virtual e Educacao
VENEZUELA;Assistencia Virtual e Educacao
ITALY;Assistencia Virtual e Educacao
GREECE;Assistencia Virtual e Educacao
INDIA;Governanca, Gestao e Impacto Social
MEXICO;Assistencia Virtual e Educacao
CHINA;Governanca, Gestao e Impacto Social
Nao Informado;Recursos Hidricos
COLOMBIA;Governanca, Gestao e Impacto Social
FINLAND;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
EMIRATES;Assistencia Virtual e Educacao
BANGLADESH;Diagnostico e Protecao Fitossanitaria
CHINA;Diagnostico e Protecao Fitossanitaria
NETHERLANDS;Cadeia Produtiva e Qualidade
CHINA;Mercado Risco e Previsao
CHINA;Mercado Risco e Previsao
LATVIA;Assistencia Virtual e Educacao
EMIRATES;Robotica e Mecanizacao
TURKEY;Diagnostico e Protecao Fitossanitaria
TURKEY;Assistencia Virtual e Educacao
INDIA;Diagnostico e Protecao Fitossanitaria
CHINA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
CHINA;Cadeia Produtiva e Qualidade
KOREA;Governanca, Gestao e Impacto Social
ARGENTINA;Ruido
REPUBLIC;Assistencia Virtual e Educacao
GREECE;Robotica e Mecanizacao
CHINA;Cadeia Produtiva e Qualidade
PORTUGAL;Assistencia Virtual e Educacao
CHINA;Diagnostico e Protecao Fitossanitaria
CAMEROON;Agricultura de Precisao e Cultivo
RUSSIA;Assistencia Virtual e Educacao
RUSSIA;Mercado Risco e Previsao
USA;Diagnostico e Protecao Fitossanitaria
CHINA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
PORTUGAL;Assistencia Virtual e Educacao
ECUADOR;Assistencia Virtual e Educacao
ENGLAND;Cadeia Produtiva e Qualidade
USA;Mercado Risco e Previsao
USA;Assistencia Virtual e Educacao
IRAQ;Diagnostico e Protecao Fitossanitaria
MEXICO;Assistencia Virtual e Educacao
AFRICA;Assistencia Virtual e Educacao
USA;Governanca, Gestao e Impacto Social
COLOMBIA;Mercado Risco e Previsao
ROMANIA;Assistencia Virtual e Educacao
ESTONIA;Diagnostico e Protecao Fitossanitaria
USA;Visao Computacional e Fenotipagem
USA;Diagnostico e Protecao Fitossanitaria
THAILAND;Cadeia Produtiva e Qualidade
USA;Diagnostico e Protecao Fitossanitaria
COLOMBIA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
ECUADOR;Clima, Solo e Meio Ambiente
BRAZIL;Assistencia Virtual e Educacao
NETHERLANDS;Robotica e Mecanizacao
ARABIA;Clima, Solo e Meio Ambiente
ROMANIA;Cadeia Produtiva e Qualidade
CANADA;Assistencia Virtual e Educacao
SWEDEN;Cadeia Produtiva e Qualidade
CHINA;Diagnostico e Protecao Fitossanitaria
KOREA;Diagnostico e Protecao Fitossanitaria
CHINA;Governanca, Gestao e Impacto Social
USA;Assistencia Virtual e Educacao
AUSTRALIA;Assistencia Virtual e Educacao
RUSSIA;Cadeia Produtiva e Qualidade
CHINA;Mercado Risco e Previsao
INDIA;Assistencia Virtual e Educacao
ITALY;Diagnostico e Protecao Fitossanitaria
CHINA;Diagnostico e Protecao Fitossanitaria
INDIA;Assistencia Virtual e Educacao
USA;Diagnostico e Protecao Fitossanitaria
ROMANIA;Robotica e Mecanizacao
AUSTRALIA;Cadeia Produtiva e Qualidade
KAZAKHSTAN;Diagnostico e Protecao Fitossanitaria
ENGLAND;Assistencia Virtual e Educacao
EGYPT;Visao Computacional e Fenotipagem
VIETNAM;Visao Computacional e Fenotipagem
ROMANIA;Cadeia Produtiva e Qualidade
SPAIN;Assistencia Virtual e Educacao
ALGERIA;Assistencia Virtual e Educacao
INDIA;Diagnostico e Protecao Fitossanitaria
JAPAN;Assistencia Virtual e Educacao
SUDAN;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
VIETNAM;Cadeia Produtiva e Qualidade
TANZANIA;Visao Computacional e Fenotipagem
POLAND;Robotica e Mecanizacao
INDIA;Assistencia Virtual e Educacao
MOROCCO;Assistencia Virtual e Educacao
NETHERLANDS;Cadeia Produtiva e Qualidade
INDIA;Mercado Risco e Previsao
MOROCCO;Mercado Risco e Previsao
ENGLAND;Diagnostico e Protecao Fitossanitaria
CANADA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
JAPAN;Robotica e Mecanizacao
INDIA;Assistencia Virtual e Educacao
CHINA;IA: Arquiteturas e Metodos
TUNISIA;Visao Computacional e Fenotipagem
CHINA;Assistencia Virtual e Educacao
SWEDEN;Diagnostico e Protecao Fitossanitaria
CHINA;Assistencia Virtual e Educacao
GERMANY;Ruido
HUNGARY;Governanca, Gestao e Impacto Social
TAIWAN;Assistencia Virtual e Educacao
CHINA;Cadeia Produtiva e Qualidade
USA;Assistencia Virtual e Educacao
INDIA;Diagnostico e Protecao Fitossanitaria
INDIA;Clima, Solo e Meio Ambiente
CHINA;Cadeia Produtiva e Qualidade
RUSSIA;Assistencia Virtual e Educacao
INDIA;Cadeia Produtiva e Qualidade
INDIA;Assistencia Virtual e Educacao
ARGENTINA;Assistencia Virtual e Educacao
INDIA;Cadeia Produtiva e Qualidade
ECUADOR;Assistencia Virtual e Educacao
MEXICO;Governanca, Gestao e Impacto Social
FRANCE;Assistencia Virtual e Educacao
BANGLADESH;Diagnostico e Protecao Fitossanitaria
IRAN;Assistencia Virtual e Educacao
DENMARK;Diagnostico e Protecao Fitossanitaria
TAIWAN;Robotica e Mecanizacao
INDIA;Mercado Risco e Previsao
CHINA;Visao Computacional e Fenotipagem
USA;Assistencia Virtual e Educacao
NETHERLANDS;Robotica e Mecanizacao
GERMANY;Clima, Solo e Meio Ambiente
CHINA;Assistencia Virtual e Educacao
GERMANY;Mercado Risco e Previsao
CHINA;Visao Computacional e Fenotipagem
ENGLAND;Robotica e Mecanizacao
USA;Robotica e Mecanizacao
AFRICA;Diagnostico e Protecao Fitossanitaria
ARABIA;Clima, Solo e Meio Ambiente
MOROCCO;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
PERU;Diagnostico e Protecao Fitossanitaria
INDONESIA;Governanca, Gestao e Impacto Social
KUWAIT;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
CHINA;Cadeia Produtiva e Qualidade
TAIWAN;Assistencia Virtual e Educacao
CHINA;Governanca, Gestao e Impacto Social
CHINA;Diagnostico e Protecao Fitossanitaria
ARABIA;Assistencia Virtual e Educacao
KOREA;Assistencia Virtual e Educacao
RUSSIA;Mercado Risco e Previsao
CHINA;Robotica e Mecanizacao
CHINA;Mercado Risco e Previsao
CHINA;Mercado Risco e Previsao
CHINA;Assistencia Virtual e Educacao
